ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
20710B05XL,54,M,1425390,43210
89602T51HX,47,M,1678954,43259
70190Z52IP,60,M,931624,42947
25623V15MU,55,F,1106320,42947
36230I68CE,32,F,748465,43492
11264G01HZ,48,F,1051927,43428
74250S23UO,26,F,1076402,43365
26735J66DB,45,F,1481949,43195
93404P60ED,55,M,1725607,43102
56557A36QV,64,F,312323,43213
38353F50LZ,53,M,546574,43621
54684T21RX,44,F,1203691,42928
46929E04HS,59,F,724688,43638
20647X82EQ,27,F,975130,43529
34956P25RT,57,F,1422399,43569
07090V20JQ,40,F,1558045,43137
78392T89DQ,33,M,669737,43616
07257K04CB,57,F,774593,43465
65658K80PS,59,F,993201,43529
69803K32CS,42,F,1050793,42664
49525O29YH,40,M,1598014,43177
25740R14MI,63,M,776801,42941
84250L43IB,47,F,1435495,43195
84258G83EV,28,F,787934,43393
53254B39QD,55,F,1867421,43560
97021A36QC,40,F,1005643,43640
47560Z98KV,44,F,1334503,43208
73529T58NE,64,M,342644,43244
30806A42VM,44,F,1227876,43557
00049S85RE,43,F,1370374,43596
26721D43SM,39,M,1381129,42792
82508W18LT,29,F,1141044,43625
80438M73AV,63,M,861120,43569
67814A83LG,51,M,1078531,43260
87070V97ZO,33,F,886139,43244
79093X41WL,45,F,881137,43612
80170A41DA,58,M,1807736,43352
92814K57MF,35,M,1010476,42870
67811V23ZL,63,F,913006,43030
49928Y38OE,62,F,916758,42776
60766Z46OD,61,F,1428077,43324
65221A93PY,54,M,854720,43303
67305F19BO,47,M,1005454,43207
11497L25KD,56,F,879059,43551
06436U96WN,33,F,703621,43378
00974O72DZ,59,F,742484,43522
09160K49TY,52,F,1920738,43555
75377M96JT,43,F,1406605,43225
50391O52JL,27,F,910269,43620
75750M01TD,40,M,1214651,43176
54602F44RW,62,F,1673206,43136
91724K12PZ,55,M,529060,42973
38941M59JI,56,F,1705657,43556
17962B28AZ,62,F,1593162,43559
05397B07CK,54,F,1437312,43364
86848B08CQ,62,F,1611444,43282
22906W78AL,60,M,1283300,43435
45389F82KX,38,F,1465158,43478
68241U65JO,58,M,1821776,43198
43891X14RC,59,M,1846298,43437
34587D00DA,58,M,1144551,43473
88616I11UH,36,F,1024701,43556
49122J54NF,29,M,979350,43260
61385H03VO,50,M,1661522,43428
58936R14SF,65,F,802717,43394
86220V54VN,49,F,1478918,43322
63676E09UO,25,F,1029303,42958
75890J70NO,64,F,1868972,43322
68606C11GV,56,M,1744071,43451
56034R95VA,48,M,1608586,43372
68007O74VG,53,M,626963,43221
72851J39QG,35,M,793369,43262
67768Z35EO,60,F,493015,43371
82032Y17OQ,53,M,921829,43285
25932M56LL,58,F,1071450,43318
77296E81ZM,48,M,1677550,43516
00749K03FQ,46,M,1421375,42706
92419C68FB,65,F,665345,43644
21589V78WG,56,M,535036,43325
75360O80DW,39,M,1579580,43355
21179R01JX,47,M,1318882,43413
78827Q35LL,49,F,826528,43206
93058B29OA,33,M,1250052,43259
57288I36BN,28,F,718407,43612
24427C44HL,60,M,1099822,43495
57769A43WJ,50,M,1444567,43169
55244P21JL,45,F,1383743,43171
10878C69QP,60,F,1274520,43374
00100T87PV,50,F,1555386,43138
10657V33HY,36,M,1779657,42739
35568Z72YA,46,F,1568521,43283
76439P77YY,28,M,1220202,43400
05814Y15VO,37,F,843116,43252
96427W84TS,29,F,1011093,43630
95829F20IU,54,F,1751467,43365
78491J25YN,50,F,1481056,43168
08349R64SN,51,F,1023285,43399
77707I89CB,42,F,1008314,43250
01439E69TI,37,F,946545,42802
37023S20ZM,46,F,1362399,43361
08736E08DD,30,M,1365515,43132
83877U15TB,42,F,1157465,43210
65904G65YK,34,M,768129,43347
61214G80ZN,55,F,879113,43528
85691K09NH,40,F,897965,43484
84131A41RV,47,M,1185438,43537
34686I34DX,50,F,893051,43440
49913C08MC,25,M,1477919,43284
45447H02JK,28,F,645555,42650
96590B86BM,60,M,616767,42783
11291R80DZ,41,F,1378658,43530
37189N42UN,29,M,1493909,43520
70335V50SH,55,F,1080001,43604
05274S84AQ,46,F,1039901,43284
06133O40VE,60,M,1779440,43341
57289T50EW,61,F,1878164,43156
73937S12OW,52,F,847439,43346
89927G30NR,56,F,1234943,43015
31470X06BS,54,M,670864,42999
57578P16IZ,35,M,638483,43590
98708I08VX,47,M,1727612,43241
36958P04EX,54,F,907788,43367
53758C39CR,48,F,1082487,42781
99157G28PR,62,F,1170677,43573
87076V59OJ,25,M,620180,43335
76764B06UP,47,M,1761085,43562
27675L93OS,63,M,1661463,43622
69692I70LT,35,M,699810,43447
46154W39MF,59,M,1614879,43424
52381S90GM,52,M,539135,43490
10457N39YE,62,F,565738,43417
40731K15FZ,46,F,1182844,43421
06173N47SN,38,M,1491178,43444
18532K46RW,62,M,1389961,43059
18976W76SJ,29,F,1118045,43430
97566A37BR,47,F,1241037,43499
68707E12OX,34,F,1177567,43361
30931S34VN,64,F,1497818,43580
69546Q66TX,34,M,1442841,42775
59999L00PL,26,F,1149955,43059
05678X36FB,50,M,1729710,43207
53776P44MZ,50,F,842591,42677
42983W11JW,32,M,728377,43374
20545D80RB,61,M,772565,42951
11046E28HA,54,F,1550310,43536
93609N63NP,60,F,1993500,43635
80643O81AC,31,F,989465,43466
00393E86UP,41,F,1532052,43558
46408E72XM,45,M,1847655,43123
27402X64HA,53,M,1850319,43365
05626Y20CY,55,F,396146,43296
93004L90PZ,63,F,965953,42685
98443X71XZ,52,M,1295563,43174
25775Y84LZ,29,M,1061035,42841
35718W19QL,41,F,1377534,43337
29231R10EV,33,M,665540,43367
48748J87TG,37,F,869555,43393
11807D05SY,64,F,478022,42907
21905X90RO,53,F,942670,43237
10580L29VV,53,F,1589847,43166
81228D18BO,48,F,1286785,42809
34057Z27MM,47,M,1126751,43151
12167K01BK,54,M,846810,43300
06265P28JU,44,F,1323464,42863
82049Z51KX,46,M,1831145,43200
83239R16ZW,47,M,825272,43316
49558V29YX,53,F,1080442,42926
40464Z35MR,43,F,974609,43332
53644Q78VY,45,F,964490,43271
69142F16CA,36,M,1551754,43172
60492C50GZ,65,F,1723412,43157
71614Z31OM,41,F,926999,43242
03416B32RP,64,M,1779203,43385
11077F22QA,50,M,1718761,43038
08303G30SE,29,M,1488480,43227
44241A27AO,51,F,892474,43421
71374A23QL,34,M,667843,43417
45803L99EN,36,F,1331330,43642
27196C53UI,51,M,1930536,43551
48370R51HV,63,M,590030,43599
70649O76MN,63,M,1835340,42929
82256A49ZW,43,F,1222677,43527
38455W93II,43,M,1230491,43165
56315E12TT,65,M,1456124,43394
05941J55YU,59,M,1881539,43515
25776I29OU,28,F,766852,43617
34172K69PZ,57,F,1666075,43501
72874V43ML,27,F,802199,43499
97873N72SX,29,M,1132280,43408
26516G80GC,51,F,712229,43441
40274P55MR,29,M,806350,43391
54543P85JE,33,F,534381,43168
19722J93DS,41,F,1385414,43044
37540D78FC,42,M,1028198,43424
13796B47JK,59,F,1984906,43238
29917A71GR,63,F,1888073,43370
59447S66XJ,25,M,699550,43240
64886B88KU,41,M,874875,43297
46269H09RK,41,F,1319138,43350
45336V08BD,62,M,678474,43152
97983J80LU,34,M,1471429,43440
51286U10JL,38,F,954141,43582
43022H92ZM,25,M,753347,42681
58346H15ZX,61,M,1295814,43282
23166I63YJ,54,F,476314,43210
52462Y27ZY,35,F,971872,43454
70920O55KX,54,M,571604,43461
98709G20PI,26,F,1085575,43599
55930E81CD,39,M,1653474,43625
36210A90KQ,64,F,1766409,43500
62781M09BY,26,M,850135,43190
77048U79FJ,41,F,1213824,43258
81935K44NP,33,M,1005254,43289
16888Q61UV,62,F,439156,43135
65928O21SR,49,F,1184486,43610
20018U08XQ,29,M,1358450,43297
56924D67EA,41,F,1397190,43213
29564G41BG,50,M,1847675,43120
71896F80PA,26,F,557754,43325
44742A00BG,59,F,598371,43480
11658J08WM,64,M,669219,43457
55452O90YS,26,M,1042011,43417
74294H58DY,63,F,750529,43483
15977K59ZH,42,M,1655520,43408
95668C24JX,65,M,574216,43245
07424U03NQ,65,F,904445,43515
01981T29OJ,46,F,881425,43147
29186W84KX,52,M,414489,43176
92243B76RF,28,F,934817,43449
28205S80HO,43,M,1480846,42628
37818Z75NC,42,F,1208115,43521
67259S33ZM,37,F,1023200,43342
27953J71OC,36,F,1026002,43565
58295S87JC,41,F,1527470,42652
99531J37ES,37,M,1989666,43311
30996D83MP,39,M,925909,43634
85320O04OG,38,F,1406592,43165
79310U08QK,54,M,623865,43240
74124A93UN,46,M,1345409,43407
93094V67KV,46,M,1502822,43421
38080K58AT,51,M,1213751,43294
53708H11IZ,54,M,1803042,43373
44884S97YQ,62,F,813357,43191
51952O29TX,35,F,1191707,43169
27173V28DE,25,F,539264,43581
66119P11GE,49,F,986341,43352
44344D57JR,33,F,837035,42836
58870U01GS,52,M,1022277,43249
58203M14GN,58,M,447108,43376
21007I46PT,43,M,811134,43240
71291I38KL,57,M,941447,43165
72046A86KL,35,M,1252211,43427
16057F65RU,41,F,851550,43534
35809Y80PB,64,M,597441,43285
55596O93OM,46,F,1390038,43494
94487E68MJ,42,M,1604954,43490
50240H97SQ,29,F,675039,43434
86775X83LF,36,F,1323476,43255
53732F98DR,53,F,664211,42632
09162G28LV,65,M,1010576,43504
78622I00CE,56,F,311791,42928
82980I08UK,53,F,1726881,43238
17174V41DW,57,F,1158196,43589
12289D49FN,58,F,1991511,43624
93434B83IL,57,M,541753,43191
40729A88VO,52,F,1544969,43228
70348D16MF,26,F,684257,43346
67071A73XK,38,F,1134504,43325
67079N76FD,43,M,1245243,43370
95725L39QM,48,F,1016422,43234
05756L47BT,59,M,1372898,42831
75241A87MS,56,M,336186,43413
21181O26VC,32,M,912852,43393
60533M94UG,64,M,661968,42928
59802T69NI,42,F,1361607,43423
56116P44FZ,55,F,1452019,43340
21607T60YT,51,M,1073391,42656
22262Z59VY,56,F,1788574,43072
64845Z68WC,28,F,575268,43437
39879E85CD,50,F,1132636,43622
04964Y40ED,52,M,1355417,43269
23585S30BQ,36,F,1016996,43530
20658O35IW,54,M,1097261,43548
23818S66NM,65,M,1768635,43298
20304Y55WX,52,M,1663653,42768
52695X06FP,31,M,794034,43202
90504P47ZI,42,F,1083278,43445
50188X21BJ,38,M,858685,43018
89374N38QM,55,M,1562311,43518
53094E23TV,44,M,1899363,43443
18367T23PM,62,F,1995294,43570
86828I03TM,42,F,1369008,42737
92270O55TE,37,F,1402558,43222
12259H17TT,46,M,1784897,43048
01977S59IP,31,M,1474209,43506
04282A24UF,37,F,1471031,43459
31618U63BS,38,F,1451192,43328
01965X80EJ,36,F,1563681,43197
91791E28KP,62,F,1729509,43234
39057V49UH,47,M,1101548,42663
12812O50GR,65,M,521224,43504
36940Q53HW,54,F,502604,42780
63182Y26YC,33,M,706015,43459
74579G79QB,38,F,1313702,43116
15322K02KR,31,M,1011659,43244
62480W00YQ,33,F,1021065,43219
59781L54AK,60,F,358670,43074
73750A81EL,44,M,970293,43433
70255R32PU,57,F,345919,43537
79457O82PA,51,F,1858961,43550
06693P06WI,44,F,899613,43517
41871I39PL,35,M,1479440,43131
90875D28YD,50,M,1928497,43154
14718T21QH,27,M,1440846,43234
34121O64WO,48,F,1195014,42885
40730N79DC,65,F,1533308,42778
43751D45WQ,46,F,1023755,43323
88175F29HO,57,M,1183225,43310
16297N25FC,55,F,1970524,43177
60322P10RO,34,F,1198616,43183
54579F42PN,25,F,886771,42760
05294I79GZ,56,F,647214,43461
33390D65GA,35,F,1023760,43277
43061L64SS,34,F,663176,42717
20111N92DW,34,M,843424,43644
85709Y01XG,33,M,1383916,43535
16841M12EL,65,F,447636,43064
31371S85VP,56,F,998385,43208
84565U94CH,60,F,1982479,42854
64479A24HB,53,M,927904,43176
28038B82FK,40,M,1285276,43201
15537U60KN,64,F,1510406,43489
06945L41KT,54,F,526135,43547
90687P97DK,64,F,1229728,43218
62262N47OM,45,M,912428,42997
30685C54JX,44,M,1198244,43176
08879X93QZ,53,M,1968797,43577
17956T17QP,64,M,601949,43289
48955E90SJ,30,F,740957,43274
21158S42FS,61,M,1143167,43547
43189S15VO,25,F,823642,43434
54976F15MA,38,M,1674926,43222
51931U95VC,61,M,1258423,43427
75069U20UX,63,M,718517,43249
83454T85DH,31,F,1028294,42797
80909B92WE,43,M,1618025,43328
91972D30HJ,49,F,1106013,43401
26122V91MO,37,F,1207471,43557
78675V01LC,52,M,765253,43254
89638M32YR,29,M,842765,43384
94970D32EG,36,M,1499717,43429
54091V36MC,33,F,722358,43595
46158Q53FO,46,M,1109848,43620
83100V92KQ,35,M,1133009,43363
34121J65GN,62,F,1827310,43236
52684B75FN,28,F,526845,42798
48301O88OQ,34,M,731395,43535
44789B98ZW,27,F,792299,43165
83396U46GU,51,M,910497,43431
53120C63ZM,54,F,483920,43432
58224J72VN,52,F,878008,43555
50592O45EU,28,M,818366,43608
00599T11ZO,40,M,980023,43551
90893I24FY,34,M,1095600,43131
90736M13PY,58,M,1016797,43265
31989F21YH,63,M,735839,43080
10452O19KO,51,M,1563661,43595
00348B44OJ,42,F,1162427,43447
53812D36DL,57,M,1084834,43273
23998K53CP,47,M,1047332,43638
67521H21EU,44,F,1089882,43306
56253I38CT,36,M,1570894,43326
71240V37QE,46,M,1663613,42679
35425V62BF,45,F,1496732,43271
06208S67VZ,46,M,943400,43642
58219C98WR,37,F,1227063,43398
92828R52IK,64,M,1418755,42972
21011Z38ZW,53,F,945676,43396
21261K12DO,61,M,1417016,43506
30995G71FW,44,M,1561224,43195
66014M51TW,62,F,636284,43607
05208N69AT,34,F,808078,43359
39072Y28OO,44,M,1376438,43366
45685P68SV,27,M,817023,43183
82101Q95TN,46,M,1137170,43229
09297N55XW,47,M,1051477,42632
91086Z20DK,63,M,1970295,42731
02660C26YI,60,F,1938150,43064
98640O94DA,55,F,1098200,43612
81871F64HG,29,F,758543,43225
82612W24HE,32,M,1496038,43225
77019K30HY,42,M,1131091,43254
84142B97KB,57,M,1891500,43113
71545C53TR,57,F,472145,43024
05784A69QW,40,F,1560271,42976
23889X74JP,44,F,899140,43613
72772Y12EL,53,M,451500,42755
98961K46AI,35,M,629107,43433
58872J31TK,29,F,966202,43441
29275H50ZN,63,F,1519852,43219
44204X95OM,59,M,951805,43225
18524O16IA,62,F,1083281,43453
97010O76JL,49,F,1264626,42796
52977E41QU,46,F,873120,43228
01466K86TM,31,M,1190821,43235
85182U39RA,64,M,1172536,43508
69871G49FB,33,M,631799,42972
02251W89LL,34,M,686366,43357
65868X76SK,59,M,868373,43233
47014R63IC,29,F,1008172,42978
78488T17HM,39,F,1559913,43629
95852N42OC,40,F,1221004,43033
10017P18JP,58,F,1752373,43122
77831Q82LE,41,M,1224129,43384
45076R19IN,56,F,878877,43230
16363U88GF,65,M,944075,43431
28224O92KZ,41,M,1218208,43216
33147T15EO,31,F,911605,43193
13677P80MT,29,M,1263155,43236
06436W92EG,49,F,963884,42928
